op,duration,duration_pred,gap,gap_pred,total,total_pred
cat,13.535,13.133302688598633,180.179,173.0079460144043,193.714,186.14124870300293
batchnorm,45.627,46.6217155456543,548.44,548.2774200439453,594.067,594.8991355895996
relu,4.832,5.517580509185791,225.935,228.8512191772461,230.767,234.36879968643188
conv2d,64.699,62.73851680755615,140.086,140.7552833557129,204.78500000000003,203.49380016326904
batchnorm,20.382,21.07469367980957,541.688,556.238525390625,562.0699999999999,577.3132190704346
relu,4.256,4.4258904457092285,227.087,227.6641502380371,231.343,232.09004068374634
conv2d,70.01,66.60094165802002,165.3,171.98004150390625,235.31,238.58098316192627
cat,14.431,14.626405715942383,167.924,171.77425003051758,182.35500000000002,186.40065574645996
batchnorm,46.492,50.80380630493164,533.592,546.3262939453125,580.084,597.1301002502441
relu,4.832,6.294397830963135,225.359,230.15387344360352,230.191,236.44827127456665
conv2d,68.475,69.70137119293213,135.158,138.9463005065918,203.63299999999998,208.64767169952393
batchnorm,20.447,21.949983596801758,543.863,556.7886505126953,564.3100000000001,578.7386341094971
relu,4.256,4.466028690338135,222.543,226.2724838256836,226.799,230.73851251602173
conv2d,70.074,68.31982135772705,177.14,174.85041046142578,247.214,243.17023181915283
cat,15.519,13.614343643188477,170.611,170.6968002319336,186.13,184.31114387512207
batchnorm,50.619,51.88750076293945,530.617,543.1524047851562,581.236,595.0399055480957
relu,4.896,6.20257043838501,225.743,227.21994018554688,230.63899999999998,233.42251062393188
conv2d,72.763,72.6263427734375,129.718,136.53512573242188,202.481,209.16146850585938
batchnorm,20.382,22.973276138305664,697.644,556.8865356445312,718.026,579.8598117828369
relu,4.256,4.2003960609436035,223.76,227.34572219848633,228.016,231.54611825942993
conv2d,70.203,66.79790306091309,172.946,179.84395217895508,243.149,246.64185523986816
cat,16.48,14.432878494262695,165.843,171.49414443969727,182.32299999999998,185.92702293395996
batchnorm,52.573,54.044708251953125,520.152,540.4346466064453,572.725,594.4793548583984
relu,4.96,5.949137210845947,225.679,227.34930801391602,230.639,233.29844522476196
conv2d,77.914,73.24209976196289,124.599,130.84523010253906,202.513,204.08732986450195
batchnorm,20.511,20.727746963500977,546.391,556.2063293457031,566.9019999999999,576.9340763092041
relu,4.191,4.399927616119385,222.544,227.53937149047852,226.735,231.9392991065979
conv2d,69.979,66.15949249267578,176.914,179.0550422668457,246.89299999999997,245.21453475952148
cat,17.663,16.115266799926758,167.027,169.7800178527832,184.69,185.89528465270996
batchnorm,56.124,56.93705749511719,522.106,538.75537109375,578.23,595.6924285888672
relu,4.959,6.701601505279541,230.319,229.2611961364746,235.278,235.96279764175415
conv2d,75.323,81.04439163208008,138.549,129.1549472808838,213.872,210.19933891296387
batchnorm,20.446,21.846399307250977,547.0,556.1282196044922,567.446,577.9746189117432
relu,4.288,4.429171085357666,221.903,226.2445945739746,226.191,230.67376565933228
conv2d,70.458,68.11983966827393,179.411,181.25724029541016,249.869,249.37707996368408
cat,18.687,14.917749404907227,165.811,169.10727310180664,184.49800000000002,184.02502250671387
batchnorm,57.916,57.604652404785156,671.63,536.8431396484375,729.546,594.4477920532227
relu,4.96,6.6990838050842285,243.342,226.46781158447266,248.30200000000002,233.16689538955688
conv2d,78.266,83.79435348510742,134.518,128.00803756713867,212.784,211.8023910522461
batchnorm,20.446,22.72098731994629,544.759,557.3553009033203,565.205,580.0762882232666
relu,4.16,4.228128910064697,222.448,227.24876022338867,226.608,231.47688913345337
conv2d,69.947,66.94111442565918,181.682,186.2325210571289,251.629,253.1736354827881
cat,19.518,16.047571182250977,166.964,169.98202896118164,186.482,186.02960014343262
batchnorm,59.036,61.792494773864746,512.121,533.075927734375,571.1569999999999,594.8684225082397
relu,4.96,6.3162713050842285,226.831,226.65126419067383,231.791,232.96753549575806
conv2d,81.883,84.40447235107422,133.461,122.87678527832031,215.344,207.28125762939453
batchnorm,20.415,20.293886184692383,536.344,556.9706420898438,556.759,577.2645282745361
relu,4.255,4.3990960121154785,222.864,227.50796508789062,227.119,231.9070611000061
conv2d,70.81,65.4702615737915,186.098,187.3029022216797,256.908,252.7731637954712
cat,20.639,17.840089797973633,161.14,167.88965606689453,181.779,185.72974586486816
batchnorm,62.683,63.47001838684082,520.121,531.6930084228516,582.804,595.1630268096924
relu,5.056,7.098482608795166,231.087,229.0461654663086,236.143,236.14464807510376
conv2d,86.01,92.91463470458984,126.038,121.13997459411621,212.048,214.05460929870605
batchnorm,20.511,21.748247146606445,543.735,556.0552673339844,564.246,577.8035144805908
relu,4.224,4.410990238189697,227.887,226.23889541625977,232.111,230.64988565444946
conv2d,70.042,67.743577003479,187.698,188.27906799316406,257.74,256.02264499664307
cat,21.695,16.47385597229004,314.633,167.5837287902832,336.328,184.05758476257324
batchnorm,65.05,63.76638984680176,520.474,530.7130126953125,585.524,594.4794025421143
relu,5.087,7.1416497230529785,226.512,226.68783950805664,231.599,233.82948923110962
conv2d,89.752,95.6553955078125,120.152,120.46800994873047,209.904,216.12340545654297
batchnorm,20.478,22.383745193481445,540.632,558.4412689208984,561.1099999999999,580.8250141143799
relu,4.224,4.2429070472717285,227.919,227.2942657470703,232.143,231.53717279434204
conv2d,70.49,66.78134346008301,195.09,193.19598388671875,265.58,259.97732734680176
cat,22.782,17.85318946838379,161.492,168.65750885009766,184.274,186.51069831848145
batchnorm,68.54,69.32372283935547,519.128,526.4455718994141,587.668,595.7692947387695
relu,5.248,6.559183597564697,231.247,226.98941040039062,236.495,233.54859399795532
conv2d,92.92,95.5864143371582,122.968,115.88527297973633,215.888,211.47168731689453
batchnorm,20.606,19.857881546020508,549.975,558.2501678466797,570.581,578.1080493927002
relu,4.224,4.40233850479126,221.359,227.6991081237793,225.583,232.10144662857056
conv2d,70.363,64.80417442321777,196.721,195.81180953979492,267.084,260.6159839630127
cat,23.678,19.6574649810791,159.829,166.30126953125,183.507,185.9587345123291
batchnorm,70.746,70.0985107421875,539.0,525.2527923583984,609.746,595.3513031005859
relu,5.28,7.4618858098983765,229.391,229.5038833618164,234.671,236.96576917171478
conv2d,96.696,104.10969543457031,116.888,114.13574028015137,213.584,218.24543571472168
batchnorm,20.447,21.644182205200195,712.138,556.3507232666016,732.585,577.9949054718018
relu,4.256,4.401644229888916,226.831,226.24851989746094,231.087,230.65016412734985
conv2d,70.939,67.13023853302002,196.177,195.64648056030273,267.116,262.77671909332275
cat,24.926,18.148752212524414,158.932,166.23279190063477,183.85799999999998,184.38154411315918
batchnorm,71.451,70.04381275177002,506.522,524.9313049316406,577.973,594.9751176834106
relu,5.248,7.49321985244751,225.615,227.70526885986328,230.863,235.1984887123108
conv2d,99.864,106.96390151977539,111.257,112.99850845336914,211.121,219.96240997314453
batchnorm,20.542,21.96531867980957,547.607,559.7981567382812,568.149,581.7634754180908
relu,4.224,4.2404351234436035,220.527,227.4939422607422,224.75099999999998,231.7343773841858
conv2d,70.555,66.41672229766846,198.865,200.34069442749023,269.42,266.7574167251587
cat,26.078,19.733789443969727,157.716,167.51524353027344,183.794,187.24903297424316
batchnorm,75.259,76.66305160522461,508.826,520.3748474121094,584.085,597.037899017334
relu,5.408,6.705263614654541,227.535,228.08860778808594,232.94299999999998,234.79387140274048
conv2d,103.736,106.36233520507812,109.048,109.02327728271484,212.784,215.38561248779297
batchnorm,20.478,19.406816482543945,546.328,559.9081726074219,566.8059999999999,579.3149890899658
relu,4.191,4.409510135650635,220.495,228.0662384033203,224.686,232.47574853897095
conv2d,70.525,64.0972728729248,200.879,204.1954231262207,271.404,268.2926959991455
cat,26.815,21.50340461730957,161.971,165.01173782348633,188.786,186.5151424407959
batchnorm,77.562,76.77582931518555,654.896,519.2946014404297,732.458,596.0704307556152
relu,5.311,7.772058844566345,228.367,230.4462013244629,233.678,238.21826016902924
conv2d,107.032,114.38603973388672,108.504,107.5696029663086,215.536,221.9556427001953
batchnorm,20.478,21.45420265197754,538.84,557.0400543212891,559.318,578.4942569732666
relu,4.224,4.400415897369385,221.808,226.32789993286133,226.03199999999998,230.7283158302307
conv2d,70.138,66.31410694122314,219.632,203.20769882202148,289.77,269.52180576324463
cat,27.87,19.864961624145508,157.908,165.04553604125977,185.778,184.91049766540527
batchnorm,80.474,76.39529418945312,496.027,519.4604949951172,576.501,595.8557891845703
relu,5.44,7.743181467056274,230.639,229.17230606079102,236.079,236.9154875278473
conv2d,110.615,117.37521362304688,102.393,105.5770149230957,213.00799999999998,222.95222854614258
batchnorm,20.35,21.466211318969727,540.6,561.4068603515625,560.95,582.8730716705322
relu,4.256,4.230684757232666,226.543,227.84075546264648,230.799,232.07144021987915
conv2d,70.843,65.93529224395752,206.832,207.44888305664062,277.675,273.38417530059814
cat,28.862,21.62553596496582,155.124,166.5195541381836,183.986,188.1450901031494
batchnorm,82.394,83.81352233886719,494.907,514.6893844604492,577.3009999999999,598.5029067993164
relu,5.504,6.780436038970947,229.263,229.62674713134766,234.767,236.4071831703186
conv2d,113.912,116.76453018188477,100.952,101.83083724975586,214.864,218.59536743164062
batchnorm,20.575,18.923738479614258,743.336,561.8909149169922,763.9110000000001,580.8146533966064
relu,4.255,4.4256463050842285,233.871,228.54929733276367,238.126,232.9749436378479
conv2d,69.915,63.249948501586914,212.88,212.44288635253906,282.795,275.692834854126
cat,30.302,23.331262588500977,157.972,163.98065185546875,188.274,187.31191444396973
batchnorm,83.706,83.52188873291016,489.563,513.6499557495117,573.269,597.1718444824219
relu,5.44,8.018144965171814,226.351,231.67170333862305,231.791,239.68984830379486
conv2d,118.007,123.86018562316895,99.001,101.19537544250488,217.008,225.05556106567383
batchnorm,20.478,21.137422561645508,539.8,558.1166381835938,560.2779999999999,579.2540607452393
relu,4.223,4.403444766998291,221.808,226.5198211669922,226.031,230.92326593399048
conv2d,70.747,65.17844581604004,219.087,211.44902801513672,289.834,276.62747383117676
cat,31.358,21.53635597229004,155.253,164.09000396728516,186.611,185.6263599395752
batchnorm,87.288,82.97309875488281,487.581,514.4580459594727,574.869,597.4311447143555
relu,5.599,7.82719624042511,240.462,231.6543426513672,246.06099999999998,239.4815388917923
conv2d,120.887,126.14630889892578,92.729,99.16170120239258,213.61599999999999,225.30801010131836
batchnorm,20.543,20.429323196411133,543.64,565.9767913818359,564.183,586.4061145782471
relu,4.255,4.162638187408447,225.423,230.0716323852539,229.678,234.23427057266235
conv2d,69.915,63.24354362487793,205.553,222.76153945922852,275.468,286.00508308410645
cat,31.741,22.53415870666504,178.003,169.04974746704102,209.74399999999997,191.58390617370605
batchnorm,89.401,93.55619812011719,457.694,482.91126251220703,547.095,576.4674606323242
